date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:38	34416/34416	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2012:29:44%20GMT	https://dreamschat.dreamguystech.com/template-html/template2/index.html	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/index.html	(from )
09:19:38	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202023%2005:19:39%20GMT	https://dreamschat.dreamguystech.com/robots.txt		(from )
09:19:39	961/961	---M--	200	added ('OK')	image/png	etag:%223c1-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/favicon.png	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/favicon.png	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:40	55419/55419	---M-Z	200	added ('OK')	text/css	etag:%22d87b-5cf3eafafa880-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/fontawesome.min.css	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:40	56846/56846	---M-Z	200	added ('OK')	text/css	etag:%22de0e-5cf3eafafa880-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:40	13679/13679	---M-Z	200	added ('OK')	text/css	etag:%22356f-5cf3eafafa880-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/swiper/swiper.min.css	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/swiper/swiper.min.css	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:40	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-5cf3eafafa880-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fancybox/jquery.fancybox.min.css	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fancybox/jquery.fancybox.min.css	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:41	123090/123090	---M-Z	200	added ('OK')	text/css	etag:%221e0d2-5d31a5815fe00-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:41	961/961	---M--	200	added ('OK')	image/png	etag:%223c1-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/logo.png	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/logo.png	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:41	38893/38893	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2012:29:44%20GMT	https://dreamschat.dreamguystech.com/template-html/template2/group.html	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/group.html	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
